DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP
1,JAN,1,01-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34
2,JAN,1,02-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34
3,JAN,1,03-01-2016 00:00,119.21,22.47,13.2,3.81,37.43,30.34
4,JAN,1,04-01-2016 00:00,1.26,14.42,9.01,3.68,55.02,26.39
5,JAN,1,05-01-2016 00:00,32.22,14.83,9.25,3.64,84.89,26.96
6,JAN,1,06-01-2016 00:00,70.85,17.59,9.23,3.71,77.82,27.23
7,JAN,1,07-01-2016 00:00,129.87,15.89,9.26,3.97,64,26.94
8,JAN,1,08-01-2016 00:00,272.29,8.74,8.55,3.44,92.31,25.45
9,JAN,1,09-01-2016 00:00,26.44,11.92,7.53,4.62,82.17,26.2
10,JAN,1,10-01-2016 00:00,39.18,10.74,6.74,4.21,73.65,25.99
11,JAN,1,11-01-2016 00:00,35.41,13.74,7.11,5.07,43.3,26.08
12,JAN,1,12-01-2016 00:00,65.82,13.82,7.27,3.61,24.68,25.9
13,JAN,1,13-01-2016 00:00,210.38,13.81,7.35,4.17,56.6,26
14,JAN,1,14-01-2016 00:00,1.31,27.06,7.38,3.27,6,26.33
15,JAN,1,15-01-2016 00:00,0.78,22.16,6.68,2.87,6.71,26.46
16,JAN,1,16-01-2016 00:00,67.71,24.02,7.76,2.54,22.56,26.53
17,JAN,1,17-01-2016 00:00,0.98,21.66,7.41,3.07,1582.56,30.34
18,JAN,1,18-01-2016 00:00,0.88,29.12,7.8,3.69,0.07,30.34
19,JAN,1,19-01-2016 00:00,0.86,29.9,7.77,4.48,39.27,27.05
20,JAN,1,20-01-2016 00:00,0.92,34.15,8.3,2.73,55.48,28.57
21,JAN,1,21-01-2016 00:00,3.08,30.8,8.25,2.84,38.68,28.41
22,JAN,1,22-01-2016 00:00,1.29,18.95,6.79,2.58,54.05,27.72
23,JAN,1,23-01-2016 00:00,0.88,35.7,9.8,2.3,28.97,27.74
24,JAN,1,24-01-2016 00:00,0.8,48.02,8.84,2.2,29.29,28.18
25,JAN,1,25-01-2016 00:00,1.02,37.78,18.65,2.66,33.28,27.39
26,JAN,1,26-01-2016 00:00,1.01,35.5,34.58,2.63,11.86,27.1
27,JAN,1,27-01-2016 00:00,1.01,36.6,34.3,2.93,10.06,27.06
28,JAN,1,28-01-2016 00:00,371.14,29.12,16.08,2.44,23.2,27.17
29,JAN,1,29-01-2016 00:00,453.75,24.47,15.58,2.24,27.1,27.09
30,JAN,1,30-01-2016 00:00,990.36,28.32,18.61,2.46,28.28,27.11
31,JAN,1,31-01-2016 00:00,92.31,24.82,15.28,2.74,27.23,26.97
32,FEB,2,01-02-2016 00:00,731.88,18.81,19.25,2.53,117.54,26.39
33,FEB,2,02-02-2016 00:00,481.21,31.34,25.13,2.9,404.1,26.84
34,FEB,2,03-02-2016 00:00,130.63,21.72,25.26,2.34,292.15,27.14
35,FEB,2,04-02-2016 00:00,279.04,30.57,15.39,1.87,42.45,27.69
36,FEB,2,05-02-2016 00:00,0.77,31.27,18.79,2.59,56.7,27.94
37,FEB,2,06-02-2016 00:00,94.63,24.43,19.93,2.96,59.62,27.45
38,FEB,2,07-02-2016 00:00,0.99,24.81,15.52,2.7,79.94,27.74
39,FEB,2,08-02-2016 00:00,188.8,24.81,11.64,2.78,45.68,27.65
40,FEB,2,09-02-2016 00:00,195.07,21.47,17.47,2.9,79.27,27.39
41,FEB,2,10-02-2016 00:00,107.42,21.97,18.12,4.54,62.66,28.22
42,FEB,2,11-02-2016 00:00,106.67,23.93,23.47,4.91,50.72,29.05
43,FEB,2,12-02-2016 00:00,15.62,22.91,22.78,4.08,64.35,27.94
44,FEB,2,13-02-2016 00:00,0.87,19.08,17.38,3.4,62.38,27.77
45,FEB,2,14-02-2016 00:00,0.62,30.96,8.1,2.64,40.11,27.53
46,FEB,2,15-02-2016 00:00,0.66,10.59,8.25,3.13,55.7,27.77
47,FEB,2,16-02-2016 00:00,23.93,10.99,8.26,3.09,57.94,28.1
48,FEB,2,17-02-2016 00:00,134.78,22.09,6.58,2.92,55.24,28.52
49,FEB,2,18-02-2016 00:00,8.34,14.36,11,4.82,63.95,28.71
50,FEB,2,19-02-2016 00:00,0.6,12.67,13.89,4.06,62.15,28.3
51,FEB,2,20-02-2016 00:00,0.68,12.2,12.01,4.13,66.5,29.14
52,FEB,2,21-02-2016 00:00,178.92,27.02,10.75,3.2,57.65,29.76
53,FEB,2,22-02-2016 00:00,10.96,7.4,14.02,3.87,31.13,29.52
54,FEB,2,23-02-2016 00:00,0.65,15.41,14.39,5.02,55.35,29.12
55,FEB,2,24-02-2016 00:00,0.68,22.99,15.51,4.44,43.7,29.26
56,FEB,2,25-02-2016 00:00,0.67,19.65,13.21,4.62,38.2,29.63
57,FEB,2,26-02-2016 00:00,0.54,22.35,6.96,2.95,24.98,29.61
58,FEB,2,27-02-2016 00:00,1.19,21.92,8.26,3.44,33.52,29.2
59,FEB,2,28-02-2016 00:00,10.11,33.37,12.61,2.92,29.11,29.71
60,FEB,2,29-02-2016 00:00,2.66,36,5.91,2.94,35.18,29.22
61,MAR,3,01-03-2016 00:00,28.73,33.65,8.52,3.52,56.58,29.43
62,MAR,3,02-03-2016 00:00,0.64,38.8,5.88,3.2,44.19,29.29
63,MAR,3,03-03-2016 00:00,3.87,38.03,9.78,2.9,38.29,28.63
64,MAR,3,04-03-2016 00:00,0.58,38.25,11.37,3.69,61.32,28.71
65,MAR,3,05-03-2016 00:00,0.64,39.89,12.55,2.83,59.52,29.47
66,MAR,3,06-03-2016 00:00,0.54,43.83,8.91,3.42,65.81,29.5
67,MAR,3,07-03-2016 00:00,11.09,39.19,5.83,3.07,52.82,29.39
68,MAR,3,08-03-2016 00:00,0.88,40.26,10.32,2.84,80.82,29.49
69,MAR,3,09-03-2016 00:00,9.67,29.35,10.99,2.94,73.9,29.35
70,MAR,3,10-03-2016 00:00,0.85,17.26,9.84,2.47,44.01,29.98
71,MAR,3,11-03-2016 00:00,0.92,13.47,10.62,2.61,50.62,30.04
72,MAR,3,12-03-2016 00:00,9.31,11.67,18.61,2.68,43.37,30.45
73,MAR,3,13-03-2016 00:00,0.92,13.13,11.39,2.58,25.95,30.39
74,MAR,3,14-03-2016 00:00,0.95,16.96,9.63,3.56,34.77,30.31
75,MAR,3,15-03-2016 00:00,69.26,14,9.02,2.89,37.31,30.22
76,MAR,3,16-03-2016 00:00,0.86,16.06,10.11,3.01,38.43,30.48
77,MAR,3,17-03-2016 00:00,0.94,13.02,16.07,3.04,38.14,30.51
78,MAR,3,18-03-2016 00:00,0.95,13.7,13.59,2.75,36.09,30.29
79,MAR,3,19-03-2016 00:00,112.65,21.25,13,2.79,38.92,30.68
80,MAR,3,20-03-2016 00:00,395.73,26.57,9.47,2.33,62.05,31.03
